2019-01-26 00:50:13.700 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 26-01-2019 12:50:13 AM
2019-01-26 00:50:23.272 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-26 00:50:23.293 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-26 00:50:42.514 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-01-26 00:52:55.772 [Thread-8] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 26-01-2019 12:50:13 AM. Used for 1548444175718 ms
2019-01-26 17:49:04.496 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 26-01-2019 05:49:04 PM
2019-01-26 17:49:16.919 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-26 17:49:16.963 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-26 17:53:03.631 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-01-26 17:54:37.632 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 26-01-2019 05:54:37 PM
2019-01-26 17:54:58.900 [JavaFX Application Thread] INFO  library.assistant.exceptions.ExceptionUtil - null
2019-01-26 17:54:58.913 [JavaFX Application Thread] INFO  library.assistant.exceptions.ExceptionUtil - Mail server not configured
2019-01-26 18:52:37.785 [Thread-11] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 26-01-2019 05:49:04 PM. Used for 1548508957158 ms
