2019-01-27 21:57:13.849 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 27-01-2019 09:57:13 PM
2019-01-27 21:57:22.827 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-27 21:57:22.841 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-27 21:57:42.648 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-01-27 22:05:18.042 [Thread-11] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 27-01-2019 09:57:13 PM. Used for 1548606918040 ms
2019-01-27 22:23:49.938 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 27-01-2019 10:23:49 PM
2019-01-27 22:23:58.458 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-01-27 22:23:58.473 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-01-27 22:24:17.416 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-01-27 22:26:05.105 [Thread-8] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 27-01-2019 10:23:49 PM. Used for 1548608165104 ms
