2018-12-10 21:17:25.144 [main] INFO  library.assistant.ui.main.Main - Library Assistant launched on 10-12-2018 09:17:25 PM
2018-12-10 21:17:41.325 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables []
2018-12-10 21:17:41.362 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Inflating new tables.
2018-12-10 21:17:41.363 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE BOOK (id varchar(200) primary key,title varchar(200),author varchar(200),publisher varchar(100),isAvail boolean default true)
2018-12-10 21:17:41.364 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE MEMBER (id varchar(200) primary key,name varchar(200),mobile varchar(20),email varchar(100))
2018-12-10 21:17:41.366 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE ISSUE (bookID varchar(200) primary key,memberID varchar(200),issueTime timestamp default CURRENT_TIMESTAMP,renew_count integer default 0,FOREIGN KEY (bookID) REFERENCES BOOK(id),FOREIGN KEY (memberID) REFERENCES MEMBER(id))
2018-12-10 21:17:41.367 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE MAIL_SERVER_INFO (server_name varchar(255),server_port integer,user_email varchar(1024),user_password varchar(1024),ssl_enabled boolean)
2018-12-10 21:22:45.440 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2018-12-10 21:24:26.967 [JavaFX Application Thread] WARN  library.assistant.database.DatabaseHandler - java.lang.NumberFormatException: For input string: ""
2018-12-10 21:26:25.712 [JavaFX Application Thread] INFO  library.assistant.exceptions.ExceptionUtil - null
2018-12-10 21:26:25.713 [JavaFX Application Thread] INFO  library.assistant.exceptions.ExceptionUtil - Mail server not configured
2018-12-10 21:28:21.295 [Thread-11] INFO  library.assistant.ui.main.Main - Library Assistant is closing on 10-12-2018 09:17:25 PM. Used for 1544457501294 ms
